block_dim,method,duration
1,reduction_shared_mem,374.816
1,reduction_shuffle,357.075
2,reduction_shared_mem,252.85
2,reduction_shuffle,237.143
4,reduction_shared_mem,193.047
4,reduction_shuffle,177.423
8,reduction_shared_mem,155.8
8,reduction_shuffle,147.376
16,reduction_shared_mem,83.244
16,reduction_shuffle,77.691
32,reduction_shared_mem,44.123
32,reduction_shuffle,41.8
64,reduction_shared_mem,24.429
64,reduction_shuffle,24.272
128,reduction_shared_mem,15.04
128,reduction_shuffle,14.962
256,reduction_shared_mem,10.087
256,reduction_shuffle,10.004